"COL0","COL1","COL2"
"4620581.02",17.20,27.90
"4620582.01",10.60,12.20
"4620582.02",11.80,13.50
"4620583.00",8.30,10.30
"4620584.00",16.30,17.90
"4620585.01",4.30,2.40
"4620585.02",12.60,9.90
"4620590.01",13.60,15.20
"4620590.02",19.70,23.30
"4620591.01",9.70,10.30
"4620591.02",11.90,15.80
"4620592.00",15.40,16.20
"4620593.01",7.50,5.80
"4620593.02",15.30,18.10
"4620594.01",17.60,19.80
"4620594.02",9.20,12.40
"4620600.01",15.40,21.50
"4620600.02",22.30,23.00
"4620600.03",18.20,26.20
"4620601.01",13.70,18.20
"4620601.02",19.50,23.70
"4620602.01",15.20,23.00
"4620602.02",20.20,24.40
"4620603.01",17.00,20.10
"4620603.02",13.70,16.80
"4620603.03",19.10,22.90
"4620604.01",5.90,5.90
"4620604.02",17.40,25.60
"4620604.03",16.10,22.00
"4620604.04",16.60,24.10
"4620604.05",11.90,13.90
"4620605.01",16.90,15.90
"4620605.02",5.50,6.50
"4620605.03",17.70,23.40
"4620605.04",12.20,17.30
"4620605.05",8.80,14.00
"4620610.01",24.70,26.00
"4620610.02",16.60,19.50
"4620610.03",14.80,20.10
"4620610.04",33.00,40.10
"4620610.05",37.10,42.90
"4620610.06",17.90,19.80
"4620610.07",31.80,36.40
"4620611.01",20.20,25.40
"4620611.02",20.30,23.00
"4620612.00",22.40,25.80
"4620613.00",20.60,23.30
"4620614.00",20.50,21.20
"4620615.00",20.30,25.30
"4620616.00",21.60,22.90
"4620617.01",15.50,17.90
"4620617.02",14.30,14.80
"4620618.00",20.10,20.30
"4620619.00",21.60,21.60
"4620625.01",4.70,4.00
"4620625.02",4.80,5.30
"4620626.00",4.50,4.40
"4620627.00",10.60,11.30
"4620628.01",9.00,10.10
"4620628.02",9.10,10.60
"4620629.00",5.00,3.90
"4620630.01",2.70,2.10
"4620630.02",3.50,3.80
"4620631.00",3.10,3.60
"4620632.01",6.30,3.90
"4620632.02",7.80,7.90
"4620632.03",5.40,5.50
"4620632.04",6.40,5.80
"4620633.00",6.20,5.90
"4620634.00",9.90,8.20
"4620635.00",16.70,16.90
"4620636.00",14.50,17.10
"4620637.01",6.40,6.50
"4620637.02",15.90,19.70
"4620638.01",12.30,14.00
"4620638.02",8.80,10.80
"4620638.03",16.50,16.90
"4620638.04",21.50,21.70
"4620639.00",16.30,16.90
"4620640.00",14.90,16.20
"4620641.01",14.10,15.90
"4620641.02",8.00,7.10
"4620642.00",15.50,25.10
"4620643.01",5.60,5.60
"4620643.02",15.90,22.20
"4620643.03",16.60,20.10
"4620644.00",9.10,13.20
"4620645.00",22.00,22.80
